id,fecha,producto,categoria,precio,cantidad,total_venta,metodo_pago,cliente_id
237e1527-1da3-4324-ad7a-0d6e2aaa78bb,2024-04-28,Cortinas,Hogar,475.6,8.0,3804.8,Efectivo,6734
102e4fff-13cc-4c3e-bcf2-0d6275e8051e,2024-04-29,Zapatos,Ropa,54.49,8.0,,Efectivo,9322
a45466d2-fd0f-48de-8414-b88588b2dcab,2024-07-07,Gorra,Ropa,485.11,6.0,2910.66,Tarjeta,6311
445f1789-04b9-4e0d-b6cc-35de34c7a04b,2025-02-14,Celular,Electronica,,6.0,933.6,Efectivo,9666
bcdba7ad-703c-4a74-a482-4ecf68544f9c,2024-08-22,Silla,Hogar,28.1,3.0,84.3,Transferencia,2267
94f99d77-9da4-4f97-abe1-1371510f3ca3,2024-12-18,Tablet,Electronica,430.67,7.0,3014.69,Efectivo,6393
824174a9-6fb3-4f1d-9590-e3451d1e4b04,2024-09-22,Audifonos,Electronica,283.83,10.0,,Efectivo,8513
61d6d3f5-1bdd-48d4-9810-0753ce523c8a,2025-01-23,Laptop,Electronica,343.7,7.0,2405.9,Efectivo,1775
a6884ee0-abf1-4d0f-89bf-358b264bccb5,2024-10-14,Mesa,Hogar,455.11,4.0,1820.44,Tarjeta,4943
bdf16b0a-9edf-4a08-957d-6d44054cdea5,2025-02-05,Pantalon,Ropa,286.01,2.0,572.02,Tarjeta,6675
7abdd303-f349-4a95-85d6-60b47eaece34,2024-12-27,Pantalon,Ropa,447.94,8.0,3583.52,Tarjeta,2016
c9628728-63aa-4570-8f10-2c837e8197b0,2024-12-02,Gorra,Ropa,197.4,2.0,,Transferencia,5887
b76c7474-aae4-4889-94a0-1b937dea6088,2024-09-08,Camisa,Ropa,144.06,9.0,1296.54,Efectivo,3062
ce9f04c8-9287-4847-992a-526d808646a8,2024-04-17,Celular,Electronica,12.74,9.0,114.66,Efectivo,3027
de9de6e9-0c36-4074-bccb-d2a46b16a3d1,2024-11-18,Mesa,Hogar,103.43,8.0,827.44,Transferencia,6892
fbd78df4-1652-4712-8baf-f9d94091f809,2024-05-11,Pantalon,Ropa,62.36,7.0,436.52,Efectivo,4104
da9b0354-24e8-4182-8085-e750daaeafe4,2024-11-24,Almohada,Hogar,366.16,8.0,2929.28,Tarjeta,9154
2aff7c08-c4dc-4bea-960e-c24e5e75a49d,2024-08-29,Lampara,Hogar,194.55,3.0,583.65,Efectivo,2028
39f3b7a4-05a1-486c-aca6-03110438702a,2024-08-26,Zapatos,Ropa,263.75,10.0,2637.5,Tarjeta,8035
a3e67043-ac53-4b75-9fc5-9d39221d8aa6,2025-03-08,Tablet,Electronica,20.56,7.0,143.92,Efectivo,9755
1472897e-b466-42c1-80ba-611c5f760646,2024-03-20,Audifonos,Electronica,454.25,7.0,3179.75,Transferencia,7892
1d97af96-2c8a-42d0-adab-d9cf81dedcc0,2024-08-11,Mesa,Hogar,105.52,7.0,738.64,Transferencia,4157
11aee447-bdb9-4142-abba-8196c5abb547,2024-10-03,Pantalon,Ropa,405.02,,3645.18,Efectivo,3693
217ecb8e-027d-4918-905e-adaf083a06b1,2024-05-03,Zapatos,Ropa,165.55,7.0,1158.85,Efectivo,8392
eac33b7a-ffc0-4e30-ae5b-5018f8c74407,2024-11-13,Celular,Electronica,,9.0,2930.49,Efectivo,6864
d44d404b-aba9-4a99-b713-6587dfbfa975,2024-07-05,Mesa,Hogar,211.62,5.0,,Efectivo,1663
5fc27a92-06d6-4323-ba3b-33c1b1a9b556,2024-10-14,Mesa,Hogar,164.99,8.0,1319.92,Efectivo,4763
15ad9cd9-fa25-46b5-99e3-0e074295a8d5,2024-07-22,Celular,Electronica,130.69,7.0,914.83,Tarjeta,8554
abf3b993-c693-4dba-a135-107985d1969b,2024-05-13,Smartwatch,Electronica,146.0,1.0,146.0,Transferencia,5737
ecf95980-9ccf-497f-9c5f-fa50554bc3a1,2024-03-29,Gorra,Ropa,175.81,1.0,175.81,Transferencia,6249
339870a0-9188-4fe6-9f86-15e5f040be47,2024-04-04,Audifonos,Electronica,226.65,6.0,1359.9,Transferencia,5931
f3f8e2b4-1943-4933-b660-ebf4340599da,2024-09-07,Mesa,Hogar,,1.0,187.98,Transferencia,5389
73ca58b1-fcb7-4fc9-82d3-7331c3b2c854,2024-11-19,Audifonos,Electronica,491.79,6.0,2950.74,Transferencia,7287
0e07547f-8e59-4eb8-a9a5-32f501dd4c13,2024-10-29,Celular,Electronica,163.79,6.0,982.74,Efectivo,1659
d24d8bcc-85d0-4047-baf8-dc49ef833772,2024-05-11,Cortinas,Hogar,,3.0,39.63,Transferencia,9338
48a85c72-78a4-461d-9803-2c1abe60a29c,2024-08-14,Cortinas,Hogar,470.56,8.0,3764.48,Transferencia,3385
c5300ddd-0b4d-4341-9b1c-d11626da92dc,2024-08-29,Tablet,Electronica,173.83,9.0,1564.47,Tarjeta,6534
033e6f9d-09e3-49c4-8243-2c5c82261f15,2025-01-08,Pantalon,Ropa,132.68,10.0,1326.8,Efectivo,3049
